colval_1,colval_2,
Alcatel,OneTouch Conquest,Alcatel OneTouch Conquest
Alcatel,OneTouch Fierce XL,Alcatel OneTouch Fierce XL
Alcatel,OneTouch Idol 3 (5.5),Alcatel OneTouch Idol 3 (5.5)
Alcatel,OneTouch Pop 3 (5.5) 4G,Alcatel OneTouch Pop 3 (5.5) 4G
Alcatel,OneTouch Pop 3 (5) 4G,Alcatel OneTouch Pop 3 (5) 4G
Alcatel,OneTouch Pop Astro,Alcatel OneTouch Pop Astro
Asus,ZenFone 2 Laser ZE601KL,Asus ZenFone 2 Laser ZE601KL
Asus,ZenFone Selfie,Asus ZenFone Selfie
Blackview,A8,Blackview A8
Blackview,Alife P1 Pro,Blackview Alife P1 Pro
Blackview,BV2000,Blackview BV2000
Blackview,BV2000S,Blackview BV2000S
Blackview,BV5000,Blackview BV5000
Blackview,Omega,Blackview Omega
Blackview,Omega Pro,Blackview Omega Pro
Blackview,Ultra,Blackview Ultra
Blackview,Zeta,Blackview Zeta
BLU,Dash Jr,BLU Dash Jr
BLU,Dash Jr K,BLU Dash Jr K
BLU,Dash M2,BLU Dash M2
BLU,Life One (2015),BLU Life One (2015)
BLU,Life One X (2016),BLU Life One X (2016)
BLU,Life One XL,BLU Life One XL
BLU,Life XL 4G,BLU Life XL 4G
BLU,Pure XL,BLU Pure XL
BLU,Studio 5.0 II,BLU Studio 5.0 II
BLU,Studio 5.0 LTE,BLU Studio 5.0 LTE
BLU,Studio C HD,BLU Studio C HD
BLU,Vivo Air,BLU Vivo Air
BLU,Vivo Air LTE,BLU Vivo Air LTE
BLU,Win HD LTE,BLU Win HD LTE
Bluboo,Picasso,Bluboo Picasso
Bluboo,X4,Bluboo X4
Bluboo,X9,Bluboo X9
Bluboo,Xfire,Bluboo Xfire
Bluboo,Xfire 2,Bluboo Xfire 2
Cat,S40,Cat S40
Cat,S50,Cat S50
Coolpad,Dazen F2,Coolpad Dazen F2
Coolpad,Dazen X7,Coolpad Dazen X7
Coolpad,Rogue,Coolpad Rogue
Coolpad,Y76,Coolpad Y76
Cubot,H2,Cubot H2
Cubot,S350,Cubot S350
Cubot,X15,Cubot X15
Cubot,Z100,Cubot Z100
Doogee,Collo 3 DG110,Doogee Collo 3 DG110
Doogee,Dagger DG550,Doogee Dagger DG550
Doogee,Valencia 2 Y100 Plus,Doogee Valencia 2 Y100 Plus
Doogee,X5 Pro,Doogee X5 Pro
Doogee,X6,Doogee X6
Doogee,Y200,Doogee Y200
Elephone,P5000,Elephone P5000
Elephone,P7000 Pioneer,Elephone P7000 Pioneer
Elephone,P6i,Elephone P6i
Elephone,P9000,Elephone P9000
Elephone,Trunk,Elephone Trunk
Gionee,Elife E3,Gionee Elife E3
Gionee,Elife E7 mini,Gionee Elife E7 mini
HomTom,HT3,HomTom HT3
HomTom,HT3 Pro,HomTom HT3 Pro
HomTom,HT7,HomTom HT7
HomTom,HT7 Pro,HomTom HT7 Pro
HTC,Desire 626 (USA),HTC Desire 626 (USA)
HTC,Desire 626s,HTC Desire 626s
HTC,One M7,HTC One M7
Huawei,Enjoy 5,Huawei Enjoy 5
Huawei,G7 Plus,Huawei G7 Plus
Huawei,Honor 4A,Huawei Honor 4A
Huawei,Honor 4C Play,Huawei Honor 4C Play
Huawei,Honor 7i,Huawei Honor 7i
Huawei,Maimang 4,Huawei Maimang 4
Huawei,Mate 8,Huawei Mate 8
Huawei,Mate S,Huawei Mate S
Huawei,P8,Huawei P8
Huawei,P8Max,Huawei P8Max
Huawei,SnapTo,Huawei SnapTo
Huawei,Union,Huawei Union
iNew,U3,iNew U3
iNew,U5,iNew U5
iNew,U5W,iNew U5W
Intex,Aqua Y2 Power,Intex Aqua Y2 Power
Jiake,M8,Jiake M8
Jiake,N9200,Jiake N9200
JiaYu,G2F,JiaYu G2F
Kazam,Trooper 451,Kazam Trooper 451
KingZone,K2,KingZone K2
KingZone,N5,KingZone N5
KingZone,Z1 Plus,KingZone Z1 Plus
Kyocera,Hydro Air,Kyocera Hydro Air
Kyocera,Hydro Wave,Kyocera Hydro Wave
Landvo,L500S,Landvo L500S
Lava,Iris Atom 3,Lava Iris Atom 3
Lava,Iris Fuel F2,Lava Iris Fuel F2
Lava,P7,Lava P7
Lava,X81,Lava X81
LeEco,Le 2 Pro X25,LeEco Le 2 Pro X25
LeEco,Le Max2,LeEco Le Max2
Lenovo,A916,Lenovo A916
Lenovo,Golden Warrior A8,Lenovo Golden Warrior A8
Lenovo,Golden Warrior S8,Lenovo Golden Warrior S8
Lenovo,K3,Lenovo K3
Lenovo,S860,Lenovo S860
Lenovo,S898T+ 8 GB,Lenovo S898T+ 8 GB
Lenovo,S939,Lenovo S939
Lenovo,Vibe X,Lenovo Vibe X
Lenovo,Vibe X2,Lenovo Vibe X2
Lenovo,Vibe Z2 Pro,Lenovo Vibe Z2 Pro
LeTV,Le 1s,LeTV Le 1s
LeTV,One,LeTV One
LG,G3 Cat.6,LG G3 Cat.6
LG,K4 LTE,LG K4 LTE
LG,K7,LG K7
LG,Optimus Exceed 2,LG Optimus Exceed 2
LG,Optimus G Pro,LG Optimus G Pro
Meizu,m2,Meizu m2
Meizu,m2 note,Meizu m2 note
Meizu,MX4,Meizu MX4
Meizu,MX4 Pro,Meizu MX4 Pro
Meizu,MX5,Meizu MX5
Micromax,Bolt A61,Micromax Bolt A61
Micromax,Canvas Blaze 4G Q400,Micromax Canvas Blaze 4G Q400
Micromax,Canvas Mega E353,Micromax Canvas Mega E353
Micromax,Canvas Selfie 2 Q340,Micromax Canvas Selfie 2 Q340
Micromax,Canvas Sliver 5 Q450,Micromax Canvas Sliver 5 Q450
Microsoft,Lumia 532,Microsoft Lumia 532
Microsoft,Lumia 550,Microsoft Lumia 550
Microsoft,Lumia 650,Microsoft Lumia 650
Microsoft,Lumia 650 Dual SIM,Microsoft Lumia 650 Dual SIM
Mlais,M52 Red Note,Mlais M52 Red Note
Motorola,ATRIX HD,Motorola ATRIX HD
Motorola,DEFY XT,Motorola DEFY XT
Motorola,DROID Maxx,Motorola DROID Maxx
Motorola,DROID RAZR M,Motorola DROID RAZR M
Motorola,DROID RAZR MAXX HD,Motorola DROID RAZR MAXX HD
Motorola,Moto X (2nd Gen),Motorola Moto X (2nd Gen)
MPIE,Mini 809T,MPIE Mini 809T
Nokia,Lumia 1520,Nokia Lumia 1520
Nokia,Lumia 521,Nokia Lumia 521
Nokia,Lumia 525,Nokia Lumia 525
Nokia,Lumia 530,Nokia Lumia 530
Nokia,Lumia 625,Nokia Lumia 625
Nokia,Lumia 630,Nokia Lumia 630
Nokia,Lumia 630 Dual SIM,Nokia Lumia 630 Dual SIM
Nokia,Lumia 635,Nokia Lumia 635
Nokia,Lumia 735,Nokia Lumia 735
Nokia,Lumia 810,Nokia Lumia 810
Nokia,Lumia 820,Nokia Lumia 820
Nokia,Lumia 822,Nokia Lumia 822
Nokia,Lumia 830,Nokia Lumia 830
Nokia,Lumia 925,Nokia Lumia 925
Nokia,Lumia 928,Nokia Lumia 928
Nokia,Lumia 930,Nokia Lumia 930
Nokia,Lumia Icon,Nokia Lumia Icon
Nokia,X,Nokia X
Nokia,XL,Nokia XL
Oppo,A31,Oppo A31
Oppo,Mirror 5s,Oppo Mirror 5s
Oppo,R7 Plus High Version,Oppo R7 Plus High Version
Oppo,R9,Oppo R9
Oukitel,C2,Oukitel C2
Oukitel,K4000,Oukitel K4000
Oukitel,K4000 Pro,Oukitel K4000 Pro
Oukitel,K6000 Pro,Oukitel K6000 Pro
Oukitel,Original One,Oukitel Original One
Oukitel,Original Pure,Oukitel Original Pure
Oukitel,U7,Oukitel U7
Oukitel,U8 Universe Tap,Oukitel U8 Universe Tap
Panasonic,Lumix Smart Camera CM1,Panasonic Lumix Smart Camera CM1
Pantech,Discover,Pantech Discover
Pantech,Flex,Pantech Flex
Pantech,Vega Secret Up,Pantech Vega Secret Up
Posh Mobile,Icon S510,Posh Mobile Icon S510
Posh Mobile,Revel Pro X510,Posh Mobile Revel Pro X510
Posh Mobile,Titan Max HD E600,Posh Mobile Titan Max HD E600
Posh Mobile,Titan Pro HD E550,Posh Mobile Titan Pro HD E550
Posh Mobile,Ultra 5.0 LTE,Posh Mobile Ultra 5.0 LTE
Sharp,Aquos Crystal,Sharp Aquos Crystal
Sony,Xperia Z5,Sony Xperia Z5
TCL,Idol X,TCL Idol X
Uhappy,UP520,Uhappy UP520
Ulefone,Be Pro,Ulefone Be Pro
Ulefone,Be Pro 2,Ulefone Be Pro 2
Ulefone,Be Pure,Ulefone Be Pure
Ulefone,Be Touch 2,Ulefone Be Touch 2
Ulefone,Be Touch 3,Ulefone Be Touch 3
Ulefone,Paris,Ulefone Paris
Ulefone,Power,Ulefone Power
Ulefone,Vienna,Ulefone Vienna
UMi,Rome,UMi Rome
UMi,Rome X,UMi Rome X
UMi,Touch X,UMi Touch X
Verykool,Fusion II SL4502,Verykool Fusion II SL4502
Verykool,Leo JR s4005,Verykool Leo JR s4005
Verykool,Maverick LTE SL5550,Verykool Maverick LTE SL5550
Verykool,Spark LTE SL5011,Verykool Spark LTE SL5011
Vivo,X5Pro,Vivo X5Pro
Vivo,X6,Vivo X6
Vivo,X6Plus,Vivo X6Plus
Vivo,Xplay5,Vivo Xplay5
VKworld,F1,VKworld F1
VKworld,T2,VKworld T2
VKworld,T3,VKworld T3
VKworld,T6,VKworld T6
VKworld,VK560,VKworld VK560
VKworld,VK700,VKworld VK700
VKworld,VK700X,VKworld VK700X
VKworld,VK800X,VKworld VK800X
Yezz,Andy 4E LTE,Yezz Andy 4E LTE
Zopo,Color C ZP330,Zopo Color C ZP330
Zopo,Hero 1,Zopo Hero 1
Zopo,Speed 7,Zopo Speed 7
ZTE,Avid 4G,ZTE Avid 4G
ZTE,Avid Plus,ZTE Avid Plus
ZTE,Axon,ZTE Axon
ZTE,Axon Pro,ZTE Axon Pro
ZTE,Blade S6,ZTE Blade S6
ZTE,Director,ZTE Director
ZTE,Imperial,ZTE Imperial
ZTE,Maven,ZTE Maven
ZTE,Obsidian,ZTE Obsidian
ZTE,Rapido,ZTE Rapido
ZTE,Solar,ZTE Solar
ZTE,Sonata 4G,ZTE Sonata 4G
ZTE,Star 1,ZTE Star 1
ZTE,V5S,ZTE V5S
ZTE,Warp 4G,ZTE Warp 4G
ZTE,Warp Elite,ZTE Warp Elite
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,